ozone,particullate_matter,carbon_monoxide,sulfure_dioxide,nitrogen_dioxide,longitude,latitude,timestamp
27,69,105,24,53,10.26136529,56.24203279,01/08/2014 04:45
28,73,109,22,53,10.26136529,56.24203279,01/08/2014 04:50
30,74,105,26,52,10.26136529,56.24203279,01/08/2014 04:55
27,76,101,28,55,10.26136529,56.24203279,01/08/2014 05:00
26,79,98,25,52,10.26136529,56.24203279,01/08/2014 05:05
24,81,96,22,47,10.26136529,56.24203279,01/08/2014 05:10
19,83,97,24,45,10.26136529,56.24203279,01/08/2014 05:15
24,84,101,20,48,10.26136529,56.24203279,01/08/2014 05:20
28,86,106,23,48,10.26136529,56.24203279,01/08/2014 05:25
23,88,105,20,45,10.26136529,56.24203279,01/08/2014 05:30
19,89,103,24,45,10.26136529,56.24203279,01/08/2014 05:35
27,92,101,20,43,10.26136529,56.24203279,01/08/2014 05:40
31,91,99,16,47,10.26136529,56.24203279,01/08/2014 05:45
30,91,94,25,42,10.26136529,56.24203279,01/08/2014 05:50
25,87,89,21,46,10.26136529,56.24203279,01/08/2014 05:55
29,88,94,24,42,10.26136529,56.24203279,01/08/2014 06:00
33,87,91,26,40,10.26136529,56.24203279,01/08/2014 06:05
38,85,88,24,35,10.26136529,56.24203279,01/08/2014 06:10
41,87,83,27,32,10.26136529,56.24203279,01/08/2014 06:15
40,92,82,30,28,10.26136529,56.24203279,01/08/2014 06:20
38,93,84,32,30,10.26136529,56.24203279,01/08/2014 06:25
33,92,86,29,31,10.26136529,56.24203279,01/08/2014 06:30
37,91,82,34,27,10.26136529,56.24203279,01/08/2014 06:35
36,87,85,34,26,10.26136529,56.24203279,01/08/2014 06:40
39,90,88,38,22,10.26136529,56.24203279,01/08/2014 06:45
35,93,89,35,19,10.26136529,56.24203279,01/08/2014 06:50
30,89,87,36,26,10.26136529,56.24203279,01/08/2014 06:55
29,87,90,34,25,10.26136529,56.24203279,01/08/2014 07:00
33,90,87,36,29,10.26136529,56.24203279,01/08/2014 07:05
37,95,87,34,31,10.26136529,56.24203279,01/08/2014 07:10
35,93,89,35,29,10.26136529,56.24203279,01/08/2014 07:15
36,94,94,38,29,10.26136529,56.24203279,01/08/2014 07:20
32,95,90,38,32,10.26136529,56.24203279,01/08/2014 07:25
34,94,89,35,30,10.26136529,56.24203279,01/08/2014 07:30
31,90,86,37,35,10.26136529,56.24203279,01/08/2014 07:35
32,92,89,40,35,10.26136529,56.24203279,01/08/2014 07:40
34,96,85,35,30,10.26136529,56.24203279,01/08/2014 07:45
34,92,87,31,32,10.26136529,56.24203279,01/08/2014 07:50
36,87,84,29,30,10.26136529,56.24203279,01/08/2014 07:55
37,83,80,26,34,10.26136529,56.24203279,01/08/2014 08:00
37,85,83,23,32,10.26136529,56.24203279,01/08/2014 08:05
35,86,83,18,27,10.26136529,56.24203279,01/08/2014 08:10
33,88,80,28,22,10.26136529,56.24203279,01/08/2014 08:15
34,87,76,28,24,10.26136529,56.24203279,01/08/2014 08:20
30,91,79,28,23,10.26136529,56.24203279,01/08/2014 08:25
28,87,82,32,26,10.26136529,56.24203279,01/08/2014 08:30
26,87,86,29,23,10.26136529,56.24203279,01/08/2014 08:35
22,87,86,24,21,10.26136529,56.24203279,01/08/2014 08:40
20,84,87,23,19,10.26136529,56.24203279,01/08/2014 08:45
23,89,87,27,21,10.26136529,56.24203279,01/08/2014 08:50
21,86,87,32,17,10.26136529,56.24203279,01/08/2014 08:55
22,90,84,30,20,10.26136529,56.24203279,01/08/2014 09:00
25,91,88,35,24,10.26136529,56.24203279,01/08/2014 09:05
22,96,91,31,27,10.26136529,56.24203279,01/08/2014 09:10
18,92,95,28,32,10.26136529,56.24203279,01/08/2014 09:15
20,91,93,32,36,10.26136529,56.24203279,01/08/2014 09:20
18,95,98,29,38,10.26136529,56.24203279,01/08/2014 09:25
26,100,98,32,39,10.26136529,56.24203279,01/08/2014 09:30
23,103,99,31,37,10.26136529,56.24203279,01/08/2014 09:35
22,100,97,35,41,10.26136529,56.24203279,01/08/2014 09:40
21,101,98,39,37,10.26136529,56.24203279,01/08/2014 09:45
23,103,101,43,39,10.26136529,56.24203279,01/08/2014 09:50
22,101,100,48,41,10.26136529,56.24203279,01/08/2014 09:55
27,105,100,53,37,10.26136529,56.24203279,01/08/2014 10:00
25,105,104,49,41,10.26136529,56.24203279,01/08/2014 10:05
27,102,100,45,41,10.26136529,56.24203279,01/08/2014 10:10
30,105,95,45,39,10.26136529,56.24203279,01/08/2014 10:15
31,107,100,40,39,10.26136529,56.24203279,01/08/2014 10:20
36,106,95,41,34,10.26136529,56.24203279,01/08/2014 10:25
39,101,98,43,39,10.26136529,56.24203279,01/08/2014 10:30
42,106,103,46,43,10.26136529,56.24203279,01/08/2014 10:35
46,108,100,42,47,10.26136529,56.24203279,01/08/2014 10:40
49,107,97,43,42,10.26136529,56.24203279,01/08/2014 10:45
50,102,97,42,38,10.26136529,56.24203279,01/08/2014 10:50
52,103,96,47,41,10.26136529,56.24203279,01/08/2014 10:55
48,102,91,51,38,10.26136529,56.24203279,01/08/2014 11:00
44,103,86,50,43,10.26136529,56.24203279,01/08/2014 11:05
49,108,86,55,41,10.26136529,56.24203279,01/08/2014 11:10
51,106,88,57,38,10.26136529,56.24203279,01/08/2014 11:15
55,107,83,58,39,10.26136529,56.24203279,01/08/2014 11:20
55,107,79,62,36,10.26136529,56.24203279,01/08/2014 11:25
53,102,79,58,31,10.26136529,56.24203279,01/08/2014 11:30
58,101,82,56,33,10.26136529,56.24203279,01/08/2014 11:35
58,104,82,59,38,10.26136529,56.24203279,01/08/2014 11:40
61,107,86,64,37,10.26136529,56.24203279,01/08/2014 11:45
62,106,88,67,32,10.26136529,56.24203279,01/08/2014 11:50
63,111,88,63,34,10.26136529,56.24203279,01/08/2014 11:55
66,107,83,64,37,10.26136529,56.24203279,01/08/2014 12:00
61,112,78,61,36,10.26136529,56.24203279,01/08/2014 12:05
57,109,76,62,31,10.26136529,56.24203279,01/08/2014 12:10
52,106,75,59,35,10.26136529,56.24203279,01/08/2014 12:15
50,103,77,54,34,10.26136529,56.24203279,01/08/2014 12:20
51,108,81,58,32,10.26136529,56.24203279,01/08/2014 12:25
54,113,78,63,28,10.26136529,56.24203279,01/08/2014 12:30
59,113,79,61,27,10.26136529,56.24203279,01/08/2014 12:35
55,114,75,60,24,10.26136529,56.24203279,01/08/2014 12:40
59,112,78,61,26,10.26136529,56.24203279,01/08/2014 12:45
54,115,76,66,29,10.26136529,56.24203279,01/08/2014 12:50
51,120,76,61,25,10.26136529,56.24203279,01/08/2014 12:55
52,123,80,63,30,10.26136529,56.24203279,01/08/2014 13:00
49,125,76,58,27,10.26136529,56.24203279,01/08/2014 13:05
50,120,77,62,26,10.26136529,56.24203279,01/08/2014 13:10
55,124,75,58,27,10.26136529,56.24203279,01/08/2014 13:15
54,128,78,59,24,10.26136529,56.24203279,01/08/2014 13:20
49,127,78,56,29,10.26136529,56.24203279,01/08/2014 13:25
54,122,74,57,31,10.26136529,56.24203279,01/08/2014 13:30
59,127,78,55,36,10.26136529,56.24203279,01/08/2014 13:35
55,128,81,60,37,10.26136529,56.24203279,01/08/2014 13:40
60,132,79,63,39,10.26136529,56.24203279,01/08/2014 13:45
64,128,83,63,37,10.26136529,56.24203279,01/08/2014 13:50
61,125,80,65,34,10.26136529,56.24203279,01/08/2014 13:55
58,123,75,64,30,10.26136529,56.24203279,01/08/2014 14:00
59,126,72,63,31,10.26136529,56.24203279,01/08/2014 14:05
57,126,71,65,30,10.26136529,56.24203279,01/08/2014 14:10
55,127,76,63,31,10.26136529,56.24203279,01/08/2014 14:15
51,130,72,63,35,10.26136529,56.24203279,01/08/2014 14:20
51,129,73,67,32,10.26136529,56.24203279,01/08/2014 14:25
46,125,77,67,37,10.26136529,56.24203279,01/08/2014 14:30
48,123,78,66,42,10.26136529,56.24203279,01/08/2014 14:35
49,121,83,68,44,10.26136529,56.24203279,01/08/2014 14:40
46,125,78,70,48,10.26136529,56.24203279,01/08/2014 14:45
42,122,82,66,43,10.26136529,56.24203279,01/08/2014 14:50
37,121,80,71,47,10.26136529,56.24203279,01/08/2014 14:55
42,124,80,76,47,10.26136529,56.24203279,01/08/2014 15:00
39,120,78,72,42,10.26136529,56.24203279,01/08/2014 15:05
36,120,74,77,41,10.26136529,56.24203279,01/08/2014 15:10
40,118,72,81,36,10.26136529,56.24203279,01/08/2014 15:15
38,114,68,78,37,10.26136529,56.24203279,01/08/2014 15:20
36,118,69,74,42,10.26136529,56.24203279,01/08/2014 15:25
32,114,65,78,44,10.26136529,56.24203279,01/08/2014 15:30
27,113,69,83,42,10.26136529,56.24203279,01/08/2014 15:35
23,109,65,80,43,10.26136529,56.24203279,01/08/2014 15:40
28,108,69,81,41,10.26136529,56.24203279,01/08/2014 15:45
31,107,70,86,36,10.26136529,56.24203279,01/08/2014 15:50
29,105,72,90,36,10.26136529,56.24203279,01/08/2014 15:55
27,104,67,90,36,10.26136529,56.24203279,01/08/2014 16:00
30,101,71,86,41,10.26136529,56.24203279,01/08/2014 16:05
25,99,74,85,37,10.26136529,56.24203279,01/08/2014 16:10
25,100,74,81,35,10.26136529,56.24203279,01/08/2014 16:15
25,96,79,82,40,10.26136529,56.24203279,01/08/2014 16:20
23,99,82,77,37,10.26136529,56.24203279,01/08/2014 16:25
23,104,84,75,37,10.26136529,56.24203279,01/08/2014 16:30
27,101,89,71,41,10.26136529,56.24203279,01/08/2014 16:35
26,101,94,72,39,10.26136529,56.24203279,01/08/2014 16:40
22,103,92,69,36,10.26136529,56.24203279,01/08/2014 16:45
25,101,96,71,40,10.26136529,56.24203279,01/08/2014 16:50
22,101,96,75,41,10.26136529,56.24203279,01/08/2014 16:55
27,97,100,73,38,10.26136529,56.24203279,01/08/2014 17:00
25,92,105,75,42,10.26136529,56.24203279,01/08/2014 17:05
20,91,100,72,42,10.26136529,56.24203279,01/08/2014 17:10
21,90,98,71,38,10.26136529,56.24203279,01/08/2014 17:15
25,90,98,76,35,10.26136529,56.24203279,01/08/2014 17:20
26,93,100,74,40,10.26136529,56.24203279,01/08/2014 17:25
21,88,101,71,45,10.26136529,56.24203279,01/08/2014 17:30
20,91,104,74,41,10.26136529,56.24203279,01/08/2014 17:35
19,86,104,72,46,10.26136529,56.24203279,01/08/2014 17:40
28,86,102,73,50,10.26136529,56.24203279,01/08/2014 17:45
33,89,106,78,45,10.26136529,56.24203279,01/08/2014 17:50
31,84,108,83,46,10.26136529,56.24203279,01/08/2014 17:55
34,85,113,81,44,10.26136529,56.24203279,01/08/2014 18:00
33,85,114,79,47,10.26136529,56.24203279,01/08/2014 18:05
36,82,110,74,50,10.26136529,56.24203279,01/08/2014 18:10
33,86,105,76,55,10.26136529,56.24203279,01/08/2014 18:15
36,83,101,81,52,10.26136529,56.24203279,01/08/2014 18:20
31,82,96,79,47,10.26136529,56.24203279,01/08/2014 18:25
36,80,99,82,50,10.26136529,56.24203279,01/08/2014 18:30
34,81,98,85,45,10.26136529,56.24203279,01/08/2014 18:35
31,86,95,88,43,10.26136529,56.24203279,01/08/2014 18:40
35,81,95,84,42,10.26136529,56.24203279,01/08/2014 18:45
30,85,97,87,42,10.26136529,56.24203279,01/08/2014 18:50
28,90,93,91,41,10.26136529,56.24203279,01/08/2014 18:55
33,89,95,93,41,10.26136529,56.24203279,01/08/2014 19:00
38,94,96,94,46,10.26136529,56.24203279,01/08/2014 19:05
38,93,101,95,50,10.26136529,56.24203279,01/08/2014 19:10
42,95,98,96,47,10.26136529,56.24203279,01/08/2014 19:15
37,93,96,98,43,10.26136529,56.24203279,01/08/2014 19:20
34,97,100,96,44,10.26136529,56.24203279,01/08/2014 19:25
38,100,95,91,44,10.26136529,56.24203279,01/08/2014 19:30
41,99,90,89,40,10.26136529,56.24203279,01/08/2014 19:35
45,95,93,88,39,10.26136529,56.24203279,01/08/2014 19:40
43,96,88,86,42,10.26136529,56.24203279,01/08/2014 19:45
41,92,83,81,41,10.26136529,56.24203279,01/08/2014 19:50
44,87,83,80,43,10.26136529,56.24203279,01/08/2014 19:55
40,92,84,82,46,10.26136529,56.24203279,01/08/2014 20:00
37,93,84,78,49,10.26136529,56.24203279,01/08/2014 20:05
35,96,89,81,47,10.26136529,56.24203279,01/08/2014 20:10
31,94,87,78,49,10.26136529,56.24203279,01/08/2014 20:15
33,90,85,81,53,10.26136529,56.24203279,01/08/2014 20:20
37,86,88,86,56,10.26136529,56.24203279,01/08/2014 20:25
37,81,88,85,51,10.26136529,56.24203279,01/08/2014 20:30
36,81,85,83,54,10.26136529,56.24203279,01/08/2014 20:35
34,85,87,86,57,10.26136529,56.24203279,01/08/2014 20:40
39,84,91,84,56,10.26136529,56.24203279,01/08/2014 20:45
37,86,89,84,61,10.26136529,56.24203279,01/08/2014 20:50
39,82,94,81,58,10.26136529,56.24203279,01/08/2014 20:55
43,87,95,79,53,10.26136529,56.24203279,01/08/2014 21:00
39,88,91,80,57,10.26136529,56.24203279,01/08/2014 21:05
44,93,94,77,58,10.26136529,56.24203279,01/08/2014 21:10
47,95,94,72,62,10.26136529,56.24203279,01/08/2014 21:15
45,96,98,73,64,10.26136529,56.24203279,01/08/2014 21:20
49,97,99,75,63,10.26136529,56.24203279,01/08/2014 21:25
53,101,102,70,60,10.26136529,56.24203279,01/08/2014 21:30
56,99,100,68,60,10.26136529,56.24203279,01/08/2014 21:35
58,101,102,64,60,10.26136529,56.24203279,01/08/2014 21:40
56,97,99,68,58,10.26136529,56.24203279,01/08/2014 21:45
54,95,98,65,58,10.26136529,56.24203279,01/08/2014 21:50
57,92,95,66,58,10.26136529,56.24203279,01/08/2014 21:55
58,92,100,61,53,10.26136529,56.24203279,01/08/2014 22:00
58,90,104,63,56,10.26136529,56.24203279,01/08/2014 22:05
60,85,100,59,58,10.26136529,56.24203279,01/08/2014 22:10
56,89,105,61,63,10.26136529,56.24203279,01/08/2014 22:15
61,84,103,63,62,10.26136529,56.24203279,01/08/2014 22:20
57,81,99,58,67,10.26136529,56.24203279,01/08/2014 22:25
57,79,104,56,66,10.26136529,56.24203279,01/08/2014 22:30
56,74,107,60,63,10.26136529,56.24203279,01/08/2014 22:35
51,75,104,57,65,10.26136529,56.24203279,01/08/2014 22:40
53,70,101,59,61,10.26136529,56.24203279,01/08/2014 22:45
49,69,101,57,60,10.26136529,56.24203279,01/08/2014 22:50
45,67,100,60,65,10.26136529,56.24203279,01/08/2014 22:55
50,71,97,60,69,10.26136529,56.24203279,01/08/2014 23:00
53,71,102,64,65,10.26136529,56.24203279,01/08/2014 23:05
55,69,100,64,63,10.26136529,56.24203279,01/08/2014 23:10
50,65,105,63,64,10.26136529,56.24203279,01/08/2014 23:15
49,61,109,68,67,10.26136529,56.24203279,01/08/2014 23:20
44,63,109,69,69,10.26136529,56.24203279,01/08/2014 23:25
44,63,110,65,67,10.26136529,56.24203279,01/08/2014 23:30
44,66,110,66,68,10.26136529,56.24203279,01/08/2014 23:35
44,64,109,64,63,10.26136529,56.24203279,01/08/2014 23:40
46,68,106,66,66,10.26136529,56.24203279,01/08/2014 23:45
41,65,110,62,63,10.26136529,56.24203279,01/08/2014 23:50
40,69,114,63,59,10.26136529,56.24203279,01/08/2014 23:55
43,71,109,64,62,10.26136529,56.24203279,02/08/2014 00:00
47,73,110,60,58,10.26136529,56.24203279,02/08/2014 00:05
50,71,109,56,55,10.26136529,56.24203279,02/08/2014 00:10
46,67,112,51,60,10.26136529,56.24203279,02/08/2014 00:15
45,72,108,48,55,10.26136529,56.24203279,02/08/2014 00:20
41,68,113,43,55,10.26136529,56.24203279,02/08/2014 00:25
39,64,116,47,51,10.26136529,56.24203279,02/08/2014 00:30
36,62,117,49,54,10.26136529,56.24203279,02/08/2014 00:35
32,67,120,44,59,10.26136529,56.24203279,02/08/2014 00:40
36,65,121,44,57,10.26136529,56.24203279,02/08/2014 00:45
32,67,119,40,53,10.26136529,56.24203279,02/08/2014 00:50
36,63,119,41,55,10.26136529,56.24203279,02/08/2014 00:55
37,62,122,39,58,10.26136529,56.24203279,02/08/2014 01:00
39,63,118,41,63,10.26136529,56.24203279,02/08/2014 01:05
41,65,121,40,65,10.26136529,56.24203279,02/08/2014 01:10
39,62,126,43,60,10.26136529,56.24203279,02/08/2014 01:15
38,64,130,43,57,10.26136529,56.24203279,02/08/2014 01:20
37,59,132,42,60,10.26136529,56.24203279,02/08/2014 01:25
34,59,137,42,56,10.26136529,56.24203279,02/08/2014 01:30
39,54,137,43,55,10.26136529,56.24203279,02/08/2014 01:35
42,57,133,42,50,10.26136529,56.24203279,02/08/2014 01:40
44,52,130,43,46,10.26136529,56.24203279,02/08/2014 01:45
49,47,134,42,41,10.26136529,56.24203279,02/08/2014 01:50
52,45,134,46,43,10.26136529,56.24203279,02/08/2014 01:55
47,47,131,49,39,10.26136529,56.24203279,02/08/2014 02:00
52,46,131,45,35,10.26136529,56.24203279,02/08/2014 02:05
47,41,128,50,38,10.26136529,56.24203279,02/08/2014 02:10
45,39,133,55,35,10.26136529,56.24203279,02/08/2014 02:15
41,43,131,58,33,10.26136529,56.24203279,02/08/2014 02:20
40,45,133,57,35,10.26136529,56.24203279,02/08/2014 02:25
36,45,128,56,39,10.26136529,56.24203279,02/08/2014 02:30
33,47,124,55,39,10.26136529,56.24203279,02/08/2014 02:35
38,46,125,60,39,10.26136529,56.24203279,02/08/2014 02:40
39,42,128,61,38,10.26136529,56.24203279,02/08/2014 02:45
39,45,127,57,37,10.26136529,56.24203279,02/08/2014 02:50
35,46,127,53,42,10.26136529,56.24203279,02/08/2014 02:55
30,46,123,57,37,10.26136529,56.24203279,02/08/2014 03:00
29,42,119,54,41,10.26136529,56.24203279,02/08/2014 03:05
25,40,114,54,40,10.26136529,56.24203279,02/08/2014 03:10
27,41,109,55,44,10.26136529,56.24203279,02/08/2014 03:15
26,42,113,53,40,10.26136529,56.24203279,02/08/2014 03:20
22,45,108,58,38,10.26136529,56.24203279,02/08/2014 03:25
23,46,113,54,38,10.26136529,56.24203279,02/08/2014 03:30
23,51,114,55,37,10.26136529,56.24203279,02/08/2014 03:35
25,48,117,52,35,10.26136529,56.24203279,02/08/2014 03:40
25,48,116,51,38,10.26136529,56.24203279,02/08/2014 03:45
26,43,117,46,39,10.26136529,56.24203279,02/08/2014 03:50
29,46,122,41,40,10.26136529,56.24203279,02/08/2014 03:55
27,50,118,45,39,10.26136529,56.24203279,02/08/2014 04:00
29,50,113,43,39,10.26136529,56.24203279,02/08/2014 04:05
24,51,117,46,39,10.26136529,56.24203279,02/08/2014 04:10
24,53,115,44,38,10.26136529,56.24203279,02/08/2014 04:15
24,53,120,40,37,10.26136529,56.24203279,02/08/2014 04:20
20,56,118,42,41,10.26136529,56.24203279,02/08/2014 04:25
21,55,114,39,38,10.26136529,56.24203279,02/08/2014 04:30
22,51,119,35,35,10.26136529,56.24203279,02/08/2014 04:35
24,51,119,30,37,10.26136529,56.24203279,02/08/2014 04:40
29,55,117,32,32,10.26136529,56.24203279,02/08/2014 04:45
26,50,121,29,32,10.26136529,56.24203279,02/08/2014 04:50
28,49,124,25,32,10.26136529,56.24203279,02/08/2014 04:55
29,48,123,26,27,10.26136529,56.24203279,02/08/2014 05:00
26,48,121,30,25,10.26136529,56.24203279,02/08/2014 05:05
30,51,117,31,26,10.26136529,56.24203279,02/08/2014 05:10
26,53,121,33,27,10.26136529,56.24203279,02/08/2014 05:15
24,51,117,38,24,10.26136529,56.24203279,02/08/2014 05:20
20,55,114,39,19,10.26136529,56.24203279,02/08/2014 05:25
19,50,115,36,29,10.26136529,56.24203279,02/08/2014 05:30
25,47,115,41,27,10.26136529,56.24203279,02/08/2014 05:35
29,43,112,43,27,10.26136529,56.24203279,02/08/2014 05:40
31,48,109,43,28,10.26136529,56.24203279,02/08/2014 05:45
36,46,111,42,33,10.26136529,56.24203279,02/08/2014 05:50
34,43,106,46,33,10.26136529,56.24203279,02/08/2014 05:55
36,45,101,46,34,10.26136529,56.24203279,02/08/2014 06:00
31,44,96,42,35,10.26136529,56.24203279,02/08/2014 06:05
30,44,96,37,33,10.26136529,56.24203279,02/08/2014 06:10
26,47,91,39,36,10.26136529,56.24203279,02/08/2014 06:15
28,50,87,44,33,10.26136529,56.24203279,02/08/2014 06:20
27,48,92,39,35,10.26136529,56.24203279,02/08/2014 06:25
27,43,90,38,39,10.26136529,56.24203279,02/08/2014 06:30
29,38,88,41,35,10.26136529,56.24203279,02/08/2014 06:35
25,36,91,45,38,10.26136529,56.24203279,02/08/2014 06:40
26,40,93,40,43,10.26136529,56.24203279,02/08/2014 06:45
29,45,88,41,45,10.26136529,56.24203279,02/08/2014 06:50
24,42,89,45,50,10.26136529,56.24203279,02/08/2014 06:55
20,47,88,49,50,10.26136529,56.24203279,02/08/2014 07:00
15,50,85,51,51,10.26136529,56.24203279,02/08/2014 07:05
19,50,90,51,56,10.26136529,56.24203279,02/08/2014 07:10
25,53,94,47,59,10.26136529,56.24203279,02/08/2014 07:15
28,50,89,49,58,10.26136529,56.24203279,02/08/2014 07:20
28,48,92,49,63,10.26136529,56.24203279,02/08/2014 07:25
25,48,96,53,58,10.26136529,56.24203279,02/08/2014 07:30
29,44,96,53,61,10.26136529,56.24203279,02/08/2014 07:35
25,44,96,53,60,10.26136529,56.24203279,02/08/2014 07:40
25,41,100,49,56,10.26136529,56.24203279,02/08/2014 07:45
21,45,100,52,56,10.26136529,56.24203279,02/08/2014 07:50
24,46,103,53,54,10.26136529,56.24203279,02/08/2014 07:55
29,49,107,51,55,10.26136529,56.24203279,02/08/2014 08:00
31,47,111,54,55,10.26136529,56.24203279,02/08/2014 08:05
34,43,108,58,50,10.26136529,56.24203279,02/08/2014 08:10
39,47,106,61,54,10.26136529,56.24203279,02/08/2014 08:15
35,48,103,59,57,10.26136529,56.24203279,02/08/2014 08:20
37,51,105,64,62,10.26136529,56.24203279,02/08/2014 08:25
40,48,105,65,66,10.26136529,56.24203279,02/08/2014 08:30
35,47,103,70,65,10.26136529,56.24203279,02/08/2014 08:35
35,50,102,70,70,10.26136529,56.24203279,02/08/2014 08:40
32,53,97,68,65,10.26136529,56.24203279,02/08/2014 08:45
36,55,92,71,68,10.26136529,56.24203279,02/08/2014 08:50
32,58,94,74,64,10.26136529,56.24203279,02/08/2014 08:55
30,55,94,71,64,10.26136529,56.24203279,02/08/2014 09:00
28,50,90,75,63,10.26136529,56.24203279,02/08/2014 09:05
24,50,89,79,64,10.26136529,56.24203279,02/08/2014 09:10
27,51,84,84,65,10.26136529,56.24203279,02/08/2014 09:15
22,49,83,86,66,10.26136529,56.24203279,02/08/2014 09:20
21,52,78,88,70,10.26136529,56.24203279,02/08/2014 09:25
26,47,74,92,66,10.26136529,56.24203279,02/08/2014 09:30
25,47,79,89,63,10.26136529,56.24203279,02/08/2014 09:35
26,43,81,93,66,10.26136529,56.24203279,02/08/2014 09:40
23,39,76,98,70,10.26136529,56.24203279,02/08/2014 09:45
27,40,75,94,66,10.26136529,56.24203279,02/08/2014 09:50
32,35,78,90,70,10.26136529,56.24203279,02/08/2014 09:55
35,39,81,86,66,10.26136529,56.24203279,02/08/2014 10:00
38,41,79,88,64,10.26136529,56.24203279,02/08/2014 10:05
42,45,79,84,65,10.26136529,56.24203279,02/08/2014 10:10
46,44,77,89,64,10.26136529,56.24203279,02/08/2014 10:15
48,40,72,87,62,10.26136529,56.24203279,02/08/2014 10:20
53,42,72,82,57,10.26136529,56.24203279,02/08/2014 10:25
58,47,70,79,56,10.26136529,56.24203279,02/08/2014 10:30
55,52,68,82,60,10.26136529,56.24203279,02/08/2014 10:35
54,53,72,80,57,10.26136529,56.24203279,02/08/2014 10:40
49,58,69,81,56,10.26136529,56.24203279,02/08/2014 10:45
44,58,71,81,52,10.26136529,56.24203279,02/08/2014 10:50
42,61,71,85,50,10.26136529,56.24203279,02/08/2014 10:55
41,58,73,81,54,10.26136529,56.24203279,02/08/2014 11:00
